question,document
Can I join the course now that it's already running?,74eb249bbf
How do I enroll if I discovered the course just now?,74eb249bbf
Will I be able to get a certificate if I sign up after the start date?,74eb249bbf
Do I need to finish and submit my project to receive a certificate?,74eb249bbf
What’s the deadline for project submission if I join late?,74eb249bbf
When will I get a confirmation email after registering for the LLM Zoomcamp?,977bf7786c
Do I need to wait for a confirmation email before starting the course?,977bf7786c
Can I start learning and submitting homework without a confirmation email?,977bf7786c
Is my registration verified against a list before the course begins?,977bf7786c
What happens if I register but don’t receive a confirmation email?,977bf7786c
How do I find the link to join the Office Hours live stream?,489dd1c9d9
Where is the YouTube live link usually posted before the session starts?,489dd1c9d9
Can I ask questions directly in the Zoom chat during the workshop?,489dd1c9d9
Which Telegram or Slack channel should I check for the session URL?,489dd1c9d9
Is there a way to submit questions if I miss the live Slido session?,489dd1c9d9
What are the first resources I should consult to start the LLM Zoomcamp?,04919992b3
Where can I find the weekly deadlines and overall course schedule?,04919992b3
"Is there a fixed start date for the course, or can I begin at any time?",04919992b3
What is the recommended workflow for completing a lesson and its homework?,04919992b3
Through which platform do I submit my homework assignments?,04919992b3
How do I locate my entry on the leaderboard?,c2903069a0
I can't find my name on the leaderboard – what am I missing?,c2903069a0
Can I change the random name that appears on my leaderboard entry?,c2903069a0
Is it allowed to use my Slack or GitHub username as my display name?,c2903069a0
Where do I update the official name that will appear on my certificate?,c2903069a0
Will I receive a certificate if I complete the course on my own schedule?,69d122f12e
Do self‑paced students get certificates after finishing the program?,69d122f12e
How does the certificate policy work for people who take the course independently?,69d122f12e
"Is a certificate only awarded to cohort participants, not self‑paced learners?",69d122f12e
What’s required to earn a certificate—must I be in a live cohort?,69d122f12e
Can I still receive a certificate if I didn't complete the initial assignment?,9f689c185f
How does skipping homework affect my ranking on the leaderboard?,9f689c185f
Is it necessary to finish every task before submitting the capstone?,9f689c185f
Will missing early work reduce my overall score?,9f689c185f
What role do assignment points play in determining my final position?,9f689c185f
When will the homework be finalized and stop changing?,96286b4be4
What does the [DRAFT] tag in the homework title indicate?,96286b4be4
Will the content of a homework change after the title loses the [DRAFT] tag?,96286b4be4
Is it risky to start working on homework that still has [DRAFT] in its title?,96286b4be4
How do I know that a homework is ready for submission?,96286b4be4
In which season will the next cohort start?,bd31146b0e
When is the next enrollment period for the course?,bd31146b0e
Do you have a schedule for the following offering?,bd31146b0e
What time of year does the course next run?,bd31146b0e
When should I expect the next session to begin?,bd31146b0e
Where can I watch the course lectures and videos?,31456f4b5f
Is there a YouTube playlist I can use for the Zoomcamp videos?,31456f4b5f
How do I find the video links for each lesson?,31456f4b5f
"Which source keeps the video links updated more reliably, GitHub or YouTube?",31456f4b5f
Are the lesson folders on GitHub the best place to locate the lecture videos?,31456f4b5f
Where can I find the syllabus and deadlines for the LLM Zoomcamp?,20c5a1347e
How do I keep track of my homework and progress in the course?,20c5a1347e
Is there a specific platform I should use to view the cohort schedule and assignments?,20c5a1347e
Where can I see the current course structure and upcoming deadlines?,20c5a1347e
Can I monitor my assignment status and overall progress through a single dashboard?,20c5a1347e
Do you hold live office hours for every module?,d65e05bd7a
Are there any live sessions available for the modules?,d65e05bd7a
How can I get help if I get stuck between modules?,d65e05bd7a
Is there a place where I can ask questions during the course?,d65e05bd7a
Does the course offer optional live support or office hours?,d65e05bd7a
How do Bluesky posts count toward my public learning credits?,dbf5369006
What qualifies a Bluesky post to be considered for public credits in the course?,dbf5369006
Can I reuse a Bluesky post for multiple learning credit entries?,dbf5369006
Do I need to include the course hashtag when posting to Bluesky for credit?,dbf5369006
Is there a limit to how many Bluesky posts I can submit for credits?,dbf5369006
How can I join the LLM Zoomcamp Telegram group?,054f3fd58f
What is the link to the official LLM Zoomcamp Telegram channel?,054f3fd58f
Is there a Telegram channel for the LLM Zoomcamp?,054f3fd58f
Where do I find announcements for LLM Zoomcamp?,054f3fd58f
Which platform do I use for technical discussions in the course?,054f3fd58f
Why does the FAQ count differ from what I saw in the course videos?,e2d595f23c
How often is the FAQ data updated after the videos were recorded?,e2d595f23c
Are new FAQs added and old ones removed over time?,e2d595f23c
When did the last update to the FAQ dataset occur relative to the videos?,e2d595f23c
Will the number of FAQs stay the same as shown in the videos?,e2d595f23c
Can I submit my homework after the deadline if the form is still open?,a9353fadfe
"If the deadline has passed, is it still okay to submit via the open form?",a9353fadfe
Will I be able to submit late assignments as long as the form hasn't closed?,a9353fadfe
What happens if the homework form closes after the deadline—can I still submit?,a9353fadfe
Is there a grace period for submitting assignments after the deadline if the form remains open?,a9353fadfe
Can I submit homework after the deadline has passed?,cdc3b285e5
Will I get a deadline extension for homework?,cdc3b285e5
What are the consequences of missing a homework deadline?,cdc3b285e5
Does missing a homework affect my certificate?,cdc3b285e5
How does a missed homework affect my leaderboard rank?,cdc3b285e5
Will the name I put on the certificate appear in the public leaderboard or on the website?,651ba06b34
Can I keep my real name hidden on the leaderboard while still having it on my certificate?,651ba06b34
What is the difference between my leaderboard nickname and the name printed on my certificate?,651ba06b34
How do I edit my public nickname and certificate name in the course profile?,651ba06b34
Will my certificate name ever be shared with third parties or appear on public pages?,651ba06b34
Why aren't we using a framework like LangChain in this course?,b7cdde6b25
"What’s the reason for building prompting, retrieval, indexing, and evaluation ourselves first?",b7cdde6b25
How does learning core components first help when later using tools like LangChain?,b7cdde6b25
Could you explain the analogy between building HTML/CSS/JS first and not using LangChain?,b7cdde6b25
